Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0314483846788916,-6.55218724121662E-05,0.0248392392910642,0,0,0,3.85607896940888,0.0138867117837616,-2.90278660215377E-08,-2.58875884175343E-06,0.0172236043367669,-8.35666921709627E-09,0.0236113226656801,0,0,0,0,0,0,package://scotty_description/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://scotty_description/meshes/base_link.STL,,Chassis Front & Back-2;Chassis Front & Back-1;Top Cover 2-1;Top Cover 1-1;Chassis Side Bar-2;Floor-1;Lower Cover 1-1;Lower Cover 2-1;Top Support-3-1;Chassis Side Bar-1;AK10-9 V2-0-3/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;AK10-9 V2-0-4/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;AK10-9 V2-0-1/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;AK10-9 V2-0-2/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;Zed 2 Camera Support-1;ZED2-1,Global_Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
abad_FR_link,0.0589056087369735,-0.000893751193795894,1.31027647427551E-05,0,0,0,0.415086541078643,0.000347299510368134,-9.24015776265909E-07,-1.74428373569239E-07,0.000490589240902945,1.49882254445195E-08,0.000292030535672053,0,0,0,0,0,0,package://scotty_description/meshes/abad_FR_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://scotty_description/meshes/abad_FR_link.STL,,Motor Bracket 2-2;AK10-9 V2-0-6/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;AK10-9 V2-0-6/AK10-9 V2-0.stp-1/A80-6GZ.stp-1,FR_Abad_Coordinate System2,Axis_FR_Abad,abad_FR_joint,revolute,0.2485,-0.065,0.025,0,0,0,base_link,1,0,0,25,3,-0.65,0.65,,,,,,,,
hip_FR_link,-0.000456154664474892,-0.0698896205031284,-0.0639468843908812,0,0,0,1.05302815476358,0.00387984063210811,-1.21559516987344E-06,-5.21353454625218E-06,0.00443119515122231,-1.22999714185811E-06,0.000775321583761757,0,0,0,0,0,0,package://scotty_description/meshes/hip_FR_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://scotty_description/meshes/hip_FR_link.STL,,Motor Bracket 1-2;AK10-9 V2-0-11/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;AK10-9 V2-0-11/AK10-9 V2-0.stp-1/A80-6GZ.stp-1;Hip Cup V2-2;Upper-Leg-2-3;Shoulder Screw 40mm-4;prevailing torque nut thin insert_din-12;plain washer grade a_din-8;Upper-Leg-2-B-3;Sprocket-1-2,FR_Hip_Coordinate System2,Axis_FR_Hip,hip_FR_joint,revolute,0.065,-0.03,0,0,0,0,abad_FR_link,0,1,0,50,3,-1.25,1.8,,,,,,,,
knee_FR_link,0.0164835065596182,-0.0013627043911752,-0.153846648019093,0,0,0,0.367874494498672,0.00262374429195262,-1.08195990780416E-09,0.000246070252835904,0.00268159880702631,-4.03703953581917E-09,7.25195050257749E-05,0,0,0,0,0,0,package://scotty_description/meshes/knee_FR_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://scotty_description/meshes/knee_FR_link.STL,,Lower Leg-2A-4;Lower Leg-2B-4;Modification Part 2-4;Foot-2,FR_Knee_Coordinate System2,Axis_FR_Knee,knee_FR_joint,revolute,0,-0.087405,-0.3,0,0,0,hip_FR_link,0,1,0,50,3,-2.5,0,,,,,,,,
abad_FL_link,0.05890560854102,0.000893751392354647,-1.31070407718629E-05,0,0,0,0.415086538333225,0.000347299510088798,9.24015742187451E-07,1.74423512564253E-07,0.000490589238662559,1.49881716375163E-08,0.000292030533706022,0,0,0,0,0,0,package://scotty_description/meshes/abad_FL_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scotty_description/meshes/abad_FL_link.STL,,AK10-9 V2-0-5/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;Motor Bracket 2-1;AK10-9 V2-0-5/AK10-9 V2-0.stp-1/A80-6GZ.stp-1,FL_Abad_Coordinate System2,Axis_FL_Abad,abad_FL_joint,revolute,0.2485,0.065,0.025,0,0,0,base_link,1,0,0,25,3,-0.65,0.65,,,,,,,,
hip_FL_link,-0.000456157514379579,0.0698896203636033,-0.064200499986891,0,0,0,1.05302815750899,0.00387984063279086,1.21560012449625E-06,5.21342074080021E-06,0.0044311951534627,1.86326216107651E-06,0.000775321585324375,0,0,0,0,0,0,package://scotty_description/meshes/hip_FL_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://scotty_description/meshes/hip_FL_link.STL,,Motor Bracket 1-1;AK10-9 V2-0-10/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;AK10-9 V2-0-10/AK10-9 V2-0.stp-1/A80-6GZ.stp-1;Hip Cup V2-1;Sprocket-1-1;Upper-Leg-2-1;Upper-Leg-2-B-1;plain washer grade a_din-5;prevailing torque nut thin insert_din-13;Shoulder Screw 40mm-1,FL_Hip_Coordinate System2,Axis_FL_Hip,hip_FL_joint,revolute,0.065,0.03,0,0,0,0,abad_FL_link,0,1,0,50,3,-1.25,1.8,,,,,,,,
knee_FL_link,0.0164835065607707,0.00136979747534019,-0.153846648020307,0,0,0,0.367874494498672,0.00262374429195376,-1.08195805869797E-09,0.00024607025283367,0.00268159880702632,-4.03703764929651E-09,7.2519505024648E-05,0,0,0,0,0,0,package://scotty_description/meshes/knee_FL_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://scotty_description/meshes/knee_FL_link.STL,,Lower Leg-2A-1;Lower Leg-2B-1;Modification Part 2-1;Foot-1,FL_Knee_Coordinate System2,Axis_FL_Knee,knee_FL_joint,revolute,0,0.087405,-0.3,0,0,0,hip_FL_link,0,1,0,50,3,-2.5,0,,,,,,,,
abad_RR_link,-0.0589056087364921,-0.000893751193796241,-1.31049387939929E-05,0,0,0,0.415086541078617,0.000347299510381008,9.24015776818508E-07,-1.74426333713997E-07,0.000490589240902941,-1.49881913351498E-08,0.000292030535659179,0,0,0,0,0,0,package://scotty_description/meshes/abad_RR_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scotty_description/meshes/abad_RR_link.STL,,AK10-9 V2-0-8/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;Motor Bracket 2-4;AK10-9 V2-0-8/AK10-9 V2-0.stp-1/A80-6GZ.stp-1,RR_Abad_Coordinate System2,Axis_RR_Abad,abad_RR_joint,revolute,-0.2485,-0.065,0.025,0,0,0,base_link,1,0,0,25,3,-0.65,0.65,,,,,,,,
hip_RR_link,0.000337894221847379,-0.0698896203602006,-0.0637420543515784,0,0,0,1.05302815757229,0.00387138194603533,8.8201303044837E-07,1.00971190970239E-05,0.0044311951535269,-6.52207544665015E-07,0.000783780272143608,0,0,0,0,0,0,package://scotty_description/meshes/hip_RR_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scotty_description/meshes/hip_RR_link.STL,,AK10-9 V2-0-13/AK10-9 V2-0.stp-1/AK10-9V2-0.stp-1;Motor Bracket 1-4;AK10-9 V2-0-13/AK10-9 V2-0.stp-1/A80-6GZ.stp-1;Hip Cup V2-4;Sprocket-1-3;Upper-Leg-2-4;Upper-Leg-2-B-4;Shoulder Screw 40mm-3;prevailing torque nut thin insert_din-14;plain washer grade a_din-7,RR_Hip_Coordinate System2,Axis_RR_Hip,hip_RR_joint,revolute,-0.065,-0.03,0,0,0,0,abad_RR_link,0,1,0,50,3,-1.25,1.8,,,,,,,,
knee_RR_link,0.0164835008826912,-0.00136270439117511,-0.153846648628661,0,0,0,0.367874494498672,0.00262374431011734,-1.08195820749471E-09,0.000246070158674825,0.00268159880702633,-4.03703761210357E-09,7.25194868610689E-05,0,0,0,0,0,0,package://scotty_description/meshes/knee_RR_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://scotty_description/meshes/knee_RR_link.STL,,Lower Leg-2B-3;Lower Leg-2A-3;Modification Part 2-3;Foot-4,RR_Knee_Coordinate System2,Axis_RR_Knee,knee_RR_joint,revolute,0,-0.087405,-0.3,0,0,0,hip_RR_link,0,1,0,50,3,-2.5,0,,,,,,,,
